Gender;Age;Breed;Number;Housing;Zone;Exterior Access;Observations;Timide;Calme;Effrayé;Intelligent;Vigilant;Perséverant;Affectueux;Amical;Solitaire;Brutal;Dominant;Aggressive;Impulsive;Predictable;Distracted
F;2a10;EUR;1;MI;R;0;2;4;2;2;4;4;5;5;5;3;2;5;5;5;4;4
M;2a10;BRI;Plusde5;MI;R;2;1;4;5;1;5;3;3;5;4;2;1;2;1;2;4;2
M;1a2;NSP;1;AAB;U;1;1;4;3;4;4;4;3;4;3;3;4;3;3;3;3;3
M;2a10;NSP;2;MI;PU;0;2;2;1;3;3;2;2;3;3;3;2;1;1;1;2;1
M;1a2;Autre;1;MI;PU;0;2;1;3;3;5;1;4;5;5;1;2;2;3;2;5;5
F;2a10;EUR;1;MI;R;2;2;5;4;5;4;4;4;5;2;3;1;1;1;3;3;3
F;Moinsde1;EUR;1;AAB;PU;0;1;2;4;3;5;5;5;5;4;2;4;3;3;4;2;4
F;1a2;EUR;Plusde5;MI;R;0;3;1;2;1;5;4;1;5;3;2;2;4;3;4;4;5
F;2a10;EUR;1;ASB;U;0;3;1;5;4;5;5;5;5;5;4;1;1;1;3;4;3
M;Moinsde1;EUR;1;MI;PU;2;2;1;2;5;2;3;3;2;4;3;2;2;1;2;2;3
M;Moinsde1;EUR;1;ML;PU;0;2;3;3;2;3;3;2;3;3;3;2;2;2;2;3;2
M;Moinsde1;MCO;4;ML;R;0;2;1;3;1;5;3;4;5;5;1;1;3;1;4;3;4
M;Moinsde1;ORI;4;MI;R;0;2;1;4;1;4;2;4;5;5;2;4;2;2;2;4;4
F;2a10;NR;Plusde5;ML;R;0;2;3;4;5;3;4;4;3;3;4;2;1;4;3;4;1
F;2a10;MCO;2;MI;R;2;3;4;4;4;5;5;4;5;2;2;1;5;5;4;3;2
M;1a2;MCO;2;MI;R;2;3;1;5;1;4;4;5;5;5;2;1;2;3;1;3;4
M;Moinsde1;EUR;1;ML;PU;0;1;3;2;3;4;4;4;3;1;3;4;4;3;4;3;4
F;2a10;Autre;5;ML;R;0;3;1;5;1;5;5;5;5;5;2;1;4;1;1;5;1
F;1a2;EUR;1;MI;U;2;3;1;2;2;4;4;4;4;4;4;2;4;5;4;4;4
